Research_paper,Question,Models,answer_relevancy,faithfulness,answer_correctness
1,1,gpt-4.1-nano,,,
1,1,gpt-4.1-mini,,,
1,1,gpt-4.1,,,
2,1,gpt-4.1-nano,0.850337573155711,1.0,0.9088935775787079
2,1,gpt-4.1-mini,0.8585585155436516,1.0,0.6469751685247762
2,1,gpt-4.1,0.8825901719004853,1.0,0.4102150711993371
2,2,gpt-4.1-nano,0.950283234715025,1.0,0.6241143081418286
2,2,gpt-4.1-mini,0.9733998914479158,1.0,0.7457068851354636
2,2,gpt-4.1,0.9673202016827211,0.95,0.6544098645723473
2,3,gpt-4.1-nano,0.9407583520533314,1.0,0.99222993851472
2,3,gpt-4.1-mini,0.9508639128824944,1.0,0.8285428162349049
2,3,gpt-4.1,0.9842658434948133,1.0,0.6707003573396773
