Research_paper,Question,k value,answer_relevancy,faithfulness,answer_correctness
1,1,4,,,
1,1,5,,,
1,1,6,,,
1,1,7,,,
1,1,8,,,
2,1,4,0.9645243864963717,1.0,0.38165372506043077
2,1,5,0.9639414696651294,1.0,0.5184007295038716
2,1,6,0.9677883997472292,1.0,0.2865373414077929
2,1,7,0.9613287273300514,1.0,0.5908597834482485
2,1,8,0.9623219840531521,1.0,0.5190760944248803
2,2,4,0.969359263801022,,
2,2,5,0.9467858601823687,0.8636363636363636,0.6313668198367637
2,2,6,0.9651949694185312,0.8181818181818182,0.6061529007495596
2,2,7,0.9467858601823687,0.8095238095238095,0.7501060596548417
2,2,8,0.9468591980985057,0.9333333333333333,0.7657140158724287
2,3,4,0.9395601591886882,1.0,0.481154784596328
2,3,5,0.9449692534134209,1.0,0.7109160317487871
2,3,6,0.9486599939571564,0.9565217391304348,0.647651609452363
2,3,7,0.9471818135067203,1.0,0.7357591575713137
2,3,8,0.9100638545659191,0.9615384615384616,0.531046985924484
